"","x"
"1",0
"2",0.0627905195293134
"3",0.125333233564304
"4",0.187381314585725
"5",0.248689887164855
"6",0.309016994374947
"7",0.368124552684678
"8",0.425779291565073
"9",0.481753674101715
"10",0.535826794978997
"11",0.587785252292473
"12",0.63742398974869
"13",0.684547105928689
"14",0.728968627421412
"15",0.770513242775789
"16",0.809016994374947
"17",0.844327925502015
"18",0.876306680043864
"19",0.90482705246602
"20",0.929776485888251
"21",0.951056516295154
"22",0.968583161128631
"23",0.982287250728689
"24",0.992114701314478
"25",0.998026728428272
"26",1
"27",0.998026728428272
"28",0.992114701314478
"29",0.982287250728689
"30",0.968583161128631
"31",0.951056516295154
"32",0.929776485888251
"33",0.904827052466019
"34",0.876306680043863
"35",0.844327925502015
"36",0.809016994374947
"37",0.770513242775789
"38",0.728968627421412
"39",0.684547105928689
"40",0.63742398974869
"41",0.587785252292473
"42",0.535826794978997
"43",0.481753674101716
"44",0.425779291565073
"45",0.368124552684678
"46",0.309016994374948
"47",0.248689887164855
"48",0.187381314585725
"49",0.125333233564305
"50",0.0627905195293136
"51",1.22464679914735e-16
"52",-0.0627905195293133
"53",-0.125333233564304
"54",-0.187381314585725
"55",-0.248689887164855
"56",-0.309016994374948
"57",-0.368124552684678
"58",-0.425779291565073
"59",-0.481753674101715
"60",-0.535826794978996
"61",-0.587785252292473
"62",-0.63742398974869
"63",-0.684547105928689
"64",-0.728968627421411
"65",-0.770513242775789
"66",-0.809016994374947
"67",-0.844327925502015
"68",-0.876306680043864
"69",-0.90482705246602
"70",-0.929776485888251
"71",-0.951056516295154
"72",-0.968583161128631
"73",-0.982287250728689
"74",-0.992114701314478
"75",-0.998026728428272
"76",-1
"77",-0.998026728428272
"78",-0.992114701314478
"79",-0.982287250728689
"80",-0.968583161128631
"81",-0.951056516295154
"82",-0.929776485888251
"83",-0.90482705246602
"84",-0.876306680043863
"85",-0.844327925502016
"86",-0.809016994374948
"87",-0.77051324277579
"88",-0.728968627421412
"89",-0.684547105928689
"90",-0.63742398974869
"91",-0.587785252292473
"92",-0.535826794978996
"93",-0.481753674101715
"94",-0.425779291565072
"95",-0.368124552684678
"96",-0.309016994374948
"97",-0.248689887164855
"98",-0.187381314585725
"99",-0.125333233564305
"100",-0.0627905195293133
"101",-2.44929359829471e-16
